,TIME,POSICAO,NOME,PONTUACAO,RODADA,G,A,FT,FD,FF,FS,SG,DS,DE,DP,PS,PP,PC,PI,I,GC,GS,FC,CV,CA,ADVERSARIO,CASA,FORA
888,Palmeiras,Meia,Zé Rafael,8.1,3,0,0,0,1,1,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,Corinthians,1,0
889,Atlético-MG,Meia,Otávio,1.4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Athlético-PR,1,0
890,Fortaleza,Lateral,Tinga,2.4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,1,0
891,Athlético-PR,Técnico,Paulo Turra,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,0,1
892,São Paulo,Meia,Wellington Rato,2.4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coritiba,0,1
893,Vasco,Técnico,Maurício Barbieri,3.53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,1,0
894,Flamengo,Atacante,Gabriel,4.2,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Botafogo,1,0
895,Atlético-MG,Meia,Patrick,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,1,0
896,Flamengo,Zagueiro,Léo Pereira,20.8,3,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,Botafogo,1,0
897,Cruzeiro,Zagueiro,Neris,6.1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Bragantino,0,1
898,Botafogo,Atacante,Tiquinho Soares,18.0,3,2,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,4,0,1,Flamengo,0,1
899,Atlético-MG,Zagueiro,Jemerson,1.4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Athlético-PR,1,0
900,Goiás,Zagueiro,Bruno Melo,0.8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,0,1
901,Fortaleza,Atacante,Romarinho,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,1,0
902,Coritiba,Atacante,Robson,-0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,São Paulo,1,0
903,Bahia,Goleiro,Marcos Felipe,11.5,3,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,Vasco,0,1
904,Santos,Goleiro,João Paulo,3.0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,América-MG,1,0
905,Athlético-PR,Meia,Alex Santana,-1.2,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,Atlético-MG,0,1
906,Vasco,Zagueiro,Léo,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,1,0
907,Atlético-MG,Meia,Hyoran,3.7,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Athlético-PR,1,0
908,América-MG,Meia,Alê,14.8,3,1,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,1,0,1,Santos,0,1
909,Goiás,Lateral,Sander,2.4,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Internacional,0,1
910,Coritiba,Lateral,Victor Luis,2.4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,1,0
911,Fluminense,Atacante,Keno,-0.4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,Fortaleza,0,1
912,Botafogo,Meia,Tchê Tchê,5.5,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,Flamengo,0,1
913,Cruzeiro,Meia,Richard Coelho,5.4,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,Bragantino,0,1
914,Flamengo,Atacante,Everton,3.6,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Botafogo,1,0
915,Botafogo,Meia,Danilo Barbosa,9.4,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Flamengo,0,1
916,Coritiba,Atacante,Rodrigo Pinho,4.5,3,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,1,0
917,Fortaleza,Meia,José Welison,-0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fluminense,1,0
918,América-MG,Lateral,Marlon,6.0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,0,1
919,Santos,Zagueiro,Eduardo Bauermann,6.4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,América-MG,1,0
920,Vasco,Goleiro,Léo Jardim,4.0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,Bahia,1,0
